epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,481.877,0.92281,0.60216,0.98591,0.91404,0.8932,0.92964,0.63924,1.16014,0.80743,1.00076,0.000337325,0.000337325,0.000337325
63,489.744,0.85477,0.5935,0.96899,0.91322,0.91239,0.92971,0.64947,1.15867,0.81211,0.99456,0.000322778,0.000322778,0.000322778
64,497.43,0.8334,0.58653,0.98239,0.92118,0.91653,0.93215,0.65764,1.17063,0.80728,1.00377,0.000308412,0.000308412,0.000308412
65,505.189,0.834,0.57321,0.95229,0.92344,0.90292,0.93746,0.64529,1.19369,0.8028,1.00142,0.000294239,0.000294239,0.000294239
66,512.443,0.84926,0.57866,0.9546,0.95164,0.902,0.93725,0.65505,1.16907,0.78623,0.97845,0.000280275,0.000280275,0.000280275
67,519.426,0.82685,0.56966,0.96239,0.95994,0.87293,0.93423,0.64043,1.20106,0.77272,0.98838,0.000266532,0.000266532,0.000266532
68,526.764,0.85863,0.60903,0.98858,0.94632,0.90224,0.9399,0.60784,1.22424,0.77339,1.00146,0.000253024,0.000253024,0.000253024
69,534.55,0.84849,0.60007,0.96188,0.95585,0.87328,0.94029,0.62422,1.23772,0.76299,1.00431,0.000239766,0.000239766,0.000239766
70,541.527,0.83497,0.58323,0.95109,0.91834,0.9176,0.93951,0.63722,1.22317,0.77302,1.00127,0.000226769,0.000226769,0.000226769
71,548.84,0.81126,0.5621,0.95271,0.91789,0.92484,0.93995,0.64153,1.17104,0.7526,0.992,0.000214046,0.000214046,0.000214046
72,556.072,0.81284,0.55337,0.95157,0.92156,0.91728,0.93957,0.6352,1.18474,0.75236,0.99354,0.000201611,0.000201611,0.000201611
73,563.587,0.80341,0.55799,0.93162,0.9144,0.92254,0.94075,0.64032,1.20955,0.76691,0.99381,0.000189475,0.000189475,0.000189475
